id,food,calorie,protein,lipid,carbohydrate,fiber,sugar_content,salt
74,こむぎ［その他］ぎょうざの皮　,291,9.3,1.4,57,2.2,54.8,0
75,こむぎ［その他］しゅうまいの皮　,295,8.3,1.4,58.9,2.2,56.7,0
76,こむぎ［その他］ピザ生地　,268,9.1,3,51.1,2.3,48.8,1.3
77,こむぎ［その他］ちくわぶ　,171,7.1,1.2,31.1,1.5,29.6,0
78,こむぎ［その他］パン粉　生　,280,11,5.1,47.6,3,44.6,0.9
79,こむぎ［その他］パン粉　半生　,319,12.5,5.8,54.3,3.5,50.8,1
80,こむぎ［その他］パン粉　乾燥　,373,14.6,6.8,63.4,4,59.4,1.2
81,こむぎ［その他］冷めん　生　,252,3.9,0.7,57.6,1.1,56.5,1.3
82,こめ［水稲穀粒］玄米　,353,6.8,2.7,74.3,3,71.3,0
83,こめ［水稲穀粒］半つき米　,356,6.5,1.8,75.9,1.4,74.5,0
84,こめ［水稲穀粒］七分つき米　,359,6.3,1.5,76.6,0.9,75.7,0
85,こめ［水稲穀粒］精白米　うるち米　,358,6.1,0.9,77.6,0.5,77.1,0
86,こめ［水稲穀粒］精白米　もち米　,359,6.4,1.2,77.2,0,77.7,0
87,精白米　インディカ米　,369,7.5,0.8,79.1,0.4,78.7,0
88,こめ［水稲穀粒］はいが精米　,357,6.5,2,75.8,1.3,74.5,0
89,こめ［水稲穀粒］発芽玄米　,356,6.5,3.3,74.3,3.1,71.2,0
90,こめ［水稲めし］玄米　,165,2.8,1,35.6,1.4,34.2,0
91,こめ［水稲めし］半つき米　,167,2.7,0.6,36.4,0.8,35.6,0
92,こめ［水稲めし］七分つき米　,168,2.6,0.5,36.7,0.5,36.2,0
93,こめ［水稲めし］精白米　うるち米　,168,2.5,0.3,37.1,0.3,36.8,0
94,こめ［水稲めし］精白米　もち米　,202,3.5,0.5,43.9,0,44.3,0
95,こめ［水稲めし］はいが精米　,167,2.7,0.6,36.4,0.8,35.6,0
96,こめ［水稲めし］発芽玄米　,167,3,1.4,35,1.8,33.2,0
97,こめ［水稲全かゆ］玄米　,70,1.2,0.4,15.2,0.6,14.6,0
98,こめ［水稲全かゆ］半つき米　,71,1.1,0.3,15.5,0.3,15.2,0
99,こめ［水稲全かゆ］七分つき米　,71,1.1,0.2,15.6,0.2,15.4,0
100,こめ［水稲全かゆ］精白米　,71,1.1,0.1,15.7,0.1,15.6,0
101,こめ［水稲五分かゆ］玄米　,35,0.6,0.2,7.6,0.3,7.3,0
102,こめ［水稲五分かゆ］半つき米　,35,0.6,0.1,7.7,0.1,7.6,0
103,こめ［水稲五分かゆ］七分つき米　,35,0.6,0.1,7.7,0.1,7.6,0
104,こめ［水稲五分かゆ］精白米　,36,0.5,0.1,7.9,0.1,7.8,0
105,こめ［水稲おもゆ］玄米　,20,0.4,0.1,4.4,0.2,4.2,0
106,こめ［水稲おもゆ］半つき米　,21,0.3,0.1,4.6,0.1,4.5,0
107,こめ［水稲おもゆ］七分つき米　,21,0.3,0.1,4.6,0,4.6,0
108,こめ［水稲おもゆ］精白米　,21,0.3,0,4.7,0,4.7,0
109,こめ［陸稲穀粒］玄米　,351,10.1,2.7,71.1,3,68.1,0
110,こめ［陸稲穀粒］半つき米　,355,9.6,1.8,72.9,1.4,71.5,0
111,こめ［陸稲穀粒］七分つき米　,358,9.5,1.5,73.4,0.9,72.5,0
112,こめ［陸稲穀粒］精白米　,357,9.3,0.9,74.5,0.5,74,0
113,こめ［陸稲めし］玄米　,164,4.1,1,34.3,1.4,32.9,0
114,こめ［陸稲めし］半つき米　,166,3.8,0.6,35.3,0.8,34.5,0
115,こめ［陸稲めし］七分つき米　,168,3.6,0.5,35.7,0.5,35.2,0
116,こめ［陸稲めし］精白米　,168,3.5,0.3,36.1,0.3,35.8,0
117,アルファ化米　一般用　,388,6,1,84.8,1.2,83.6,0
118,アルファ化米　学校給食用強化品　,388,6,1,84.8,1.2,83.6,0
119,こめ［うるち米製品］おにぎり　,179,2.7,0.3,39.4,0.4,39,0.5
120,こめ［うるち米製品］焼きおにぎり　,181,3.1,0.3,39.5,0.4,39.1,1
121,こめ［うるち米製品］きりたんぽ　,210,3.2,0.4,46.2,0.4,45.8,0
122,こめ［うるち米製品］上新粉　,362,6.2,0.9,78.5,0.6,77.9,0
123,こめ［うるち米製品］玄米粉　,395,7.1,2.9,84.1,3.5,80.6,0
124,こめ［うるち米製品］米粉　,374,6,0.7,81.9,0.6,81.3,0
125,こめ［うるち米製品］米粉パン　,255,3.4,3.1,51.3,0.9,50.4,0.9
126,こめ［うるち米製品］米粉めん　,265,3.6,0.7,58.4,0.9,57.5,0.1
127,こめ［うるち米製品］ビーフン　,377,7,1.6,79.9,0.9,79,0
128,こめ［うるち米製品］米こうじ　,286,5.8,1.7,59.2,1.4,57.8,0
129,こめ［もち米製品］もち　,234,4,0.6,50.8,0.5,50.3,0
130,こめ［もち米製品］赤飯　,190,4.3,0.6,41.9,1.6,40.3,0
131,こめ［もち米製品］あくまき　,132,2.3,1.8,25.7,0.2,25.5,0
132,こめ［もち米製品］白玉粉　,369,6.3,1,80,0.5,79.5,0
133,こめ［もち米製品］道明寺粉　,372,7.1,0.7,80.4,0.7,79.7,0
134,こめ［その他］米ぬか　,412,13.4,19.6,48.8,20.5,28.3,0
135,そば　そば粉　全層粉　,361,12,3.1,69.6,4.3,65.3,0
136,そば　そば粉　内層粉　,359,6,1.6,77.6,1.8,75.8,0
137,そば　そば粉　中層粉　,360,10.2,2.7,71.6,4.4,67.2,0
138,そば　そば粉　表層粉　,358,15,3.6,65.1,7.1,58,0
139,そば　そば米　,364,9.6,2.5,73.7,3.7,70,0
140,そば　そば　生　,274,9.8,1.9,54.5,2.7,51.8,0
141,そば　そば　ゆで　,132,4.8,1,26,2,24,0
142,そば　干しそば　乾　,344,14,2.3,66.7,3.7,63,2.2
143,そば　干しそば　ゆで　,114,4.8,0.7,22.1,1.5,20.6,0.1
144,とうもろこし　玄穀　黄色種　,350,8.6,5,70.6,9,61.6,0
145,とうもろこし　玄穀　白色種　,350,8.6,5,70.6,9,61.6,0
146,とうもろこし　コーンミール　黄色種　,363,8.3,4,72.4,8,64.4,0
147,とうもろこし　コーンミール　白色種　,363,8.3,4,72.4,8,64.4,0
148,とうもろこし　コーングリッツ　黄色種　,355,8.2,1,76.4,2.4,74,0
149,とうもろこし　コーングリッツ　白色種　,355,8.2,1,76.4,2.4,74,0
150,とうもろこし　コーンフラワー　黄色種　,363,6.6,2.8,76.1,1.7,74.4,0
151,とうもろこし　コーンフラワー　白色種　,363,6.6,2.8,76.1,1.7,74.4,0
152,とうもろこし　ジャイアントコーン　フライ　味付け　,435,5.7,11.8,76.6,10.5,66.1,1.1
153,とうもろこし　ポップコーン　,484,10.2,22.8,59.6,9.3,50.3,1.4
154,とうもろこし　コーンフレーク　,381,7.8,1.7,83.6,2.4,81.2,2.1
155,はとむぎ　精白粒　,360,13.3,1.3,72.2,0.6,71.6,0
156,ひえ　精白粒　,366,9.4,3.3,73.2,4.3,68.9,0
157,もろこし　玄穀　,352,10.3,4.7,71.1,9.7,61.4,0
158,もろこし　精白粒　,364,9.5,2.6,74.1,4.4,69.7,0
159,ライむぎ　全粒粉　,334,12.7,2.7,70.7,13.3,57.4,0
160,ライむぎ　ライ麦粉　,351,8.5,1.6,75.8,12.9,62.9,0
161,穀類混合品　五穀　,357,12.6,2.8,70.2,5.1,65.1,0
162,きくいも　塊茎　生　,35,1.9,0.4,14.7,1.9,12.8,0
